 Location:  5S  95W  24 Apr 1994 to 10 May 2012 ( 6592 times, 11 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200 24 Apr 1994 to 1200 15 Mar 1997 (index     1 to  1057, 1057 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19941230 1200  -3.8   5.1   6.4 323.5 12 55
 19941231 1200  -3.5   3.9   5.2 318.2 12 55
 19950101 1200  -4.6   3.4   5.7 305.9 12 55
 19950102 1200  -4.7   5.0   6.8 316.7 12 55
 19950103 1200  -4.1   4.5   6.1 317.4 12 55
 19950104 1200  -2.8   4.2   5.1 326.1 12 55
 19950105 1200  -2.6   4.7   5.3 331.1 12 55
 19950106 1200  -3.7   5.7   6.8 326.9 12 55
 19950107 1200  -4.6   4.6   6.5 315.3 12 55
 19950108 1200  -4.4   4.7   6.5 317.1 12 55
 19950109 1200  -4.3   4.3   6.1 315.5 12 55
 19950110 1200  -5.3   4.3   6.8 309.1 12 55
 19950111 1200  -4.6   5.2   7.0 318.2 12 55
 19950112 1200  -3.7   5.7   6.8 327.2 12 55
 19950113 1200  -3.1   4.8   5.7 327.3 12 55
 19950114 1200  -3.2   4.7   5.7 325.8 12 55
 19950115 1200  -3.9   3.2   5.0 309.2 12 55
 19950116 1200  -4.7   3.4   5.8 305.6 12 55
 19950117 1200  -4.5   4.3   6.2 313.5 12 55
 19950118 1200  -4.2   5.2   6.7 321.3 12 55
 19950119 1200  -4.2   5.3   6.8 321.6 12 55
 19950120 1200  -3.6   4.1   5.5 318.6 12 55
 19950121 1200  -4.1   4.2   5.9 315.9 12 55
 19950122 1200  -4.0   2.7   4.8 303.6 12 55
 19950123 1200  -3.7   3.5   5.2 313.5 12 55
 19950124 1200  -3.7   4.9   6.2 322.9 12 55
 19950125 1200  -4.2   5.5   6.9 323.1 12 55
 19950126 1200  -2.7   6.0   6.5 335.5 12 55
 19950127 1200  -2.6   3.4   4.2 322.6 12 55
 19950128 1200  -3.3   1.8   3.8 298.8 12 55
 19950129 1200  -4.0   4.2   5.8 316.0 12 55
 19950130 1200  -3.8   6.2   7.3 328.3 12 55
