 Location:  8N  95W   9 Aug 1994 to 19 Sep 2013 ( 6982 times,  5 blocks) Gen. Date Nov 23 2013
 Units: Sea Surface Temperature (C), -9.99 = missing
 Time: 1200  9 Aug 1994 to 1200 15 Mar 1995 (index     1 to   219,  219 times)
 Depth (M):        1 QUALITY SOURCE
 YYYYMMDD HHMM   SST Q S
 19951124 1200 27.60 1 5
 19951125 1200 27.61 1 5
 19951126 1200 27.57 1 5
 19951127 1200 27.39 1 5
 19951128 1200 27.44 1 5
 19951129 1200 27.64 1 5
 19951130 1200 27.64 1 5
 19951201 1200 27.49 1 5
 19951202 1200 27.43 1 5
 19951203 1200 27.54 1 5
 19951204 1200 27.50 1 5
 19951205 1200 27.39 1 5
 19951206 1200 27.40 1 5
 19951207 1200 27.37 1 5
 19951208 1200 27.36 1 5
 19951209 1200 27.34 1 5
 19951210 1200 27.37 1 5
 19951211 1200 27.28 1 5
 19951212 1200 27.23 1 5
 19951213 1200 27.25 1 5
 19951214 1200 27.23 1 5
 19951215 1200 27.29 1 5
 19951216 1200 27.53 1 5
 19951217 1200 27.57 1 5
 19951218 1200 27.56 1 5
 19951219 1200 27.44 1 5
 19951220 1200 27.58 1 5
 19951221 1200 27.68 1 5
 19951222 1200 27.55 1 5
 19951223 1200 27.69 1 5
 19951224 1200 27.59 1 5
 19951225 1200 27.53 1 5
 19951226 1200 27.56 1 5
 19951227 1200 27.42 1 5
 19951228 1200 27.38 1 5
 19951229 1200 27.31 1 5
 19951230 1200 27.50 1 5
 19951231 1200 27.54 1 5
 19960101 1200 27.31 1 5
 19960102 1200 27.35 1 5
 19960103 1200 27.35 1 5
 19960104 1200 27.32 1 5
 19960105 1200 27.22 1 5
 19960106 1200 27.13 1 5
 19960107 1200 27.33 1 5
 19960108 1200 27.26 1 5
 19960109 1200 26.95 1 5
 19960110 1200 26.67 1 5
 19960111 1200 26.42 1 5
 19960112 1200 26.44 1 5
 19960113 1200 26.50 1 5
 19960114 1200 -9.99 0 0
 19960115 1200 26.39 1 5
 19960116 1200 26.34 1 5
 19960117 1200 26.44 1 5
 19960118 1200 26.65 1 5
 19960119 1200 26.57 1 5
 19960120 1200 26.59 1 5
 19960121 1200 26.63 1 5
 19960122 1200 26.60 1 5
 19960123 1200 26.59 1 5
 19960124 1200 26.61 1 5
 19960125 1200 26.63 1 5
 19960126 1200 26.56 1 5
 19960127 1200 26.54 1 5
 19960128 1200 26.53 1 5
 19960129 1200 26.54 1 5
 19960130 1200 26.53 1 5
 19960131 1200 26.46 1 5
 19960201 1200 26.67 1 5
 19960202 1200 27.10 1 5
 19960203 1200 27.15 1 5
 19960204 1200 27.15 1 5
 19960205 1200 27.13 1 5
 19960206 1200 27.20 1 5
 19960207 1200 27.05 1 5
 19960208 1200 26.84 1 5
 19960209 1200 26.59 1 5
 19960210 1200 26.62 1 5
 19960211 1200 26.77 1 5
 19960212 1200 26.78 1 5
 19960213 1200 26.65 1 5
 19960214 1200 26.15 1 5
 19960215 1200 25.87 1 5
 19960216 1200 26.18 1 5
 19960217 1200 26.38 1 5
 19960218 1200 26.12 1 5
 19960219 1200 26.13 1 5
 19960220 1200 26.22 1 5
 19960221 1200 26.31 1 5
 19960222 1200 26.35 1 5
 19960223 1200 26.34 1 5
 19960224 1200 26.51 1 5
 19960225 1200 26.63 1 5
 19960226 1200 26.60 1 5
 19960227 1200 26.79 1 5
 19960228 1200 27.02 1 5
 19960229 1200 27.27 1 5
 19960301 1200 27.56 1 5
 19960302 1200 27.72 1 5
 19960303 1200 27.76 1 5
 19960304 1200 27.76 1 5
 19960305 1200 27.66 1 5
 19960306 1200 27.62 1 5
 19960307 1200 27.97 1 5
 19960308 1200 27.95 1 5
 19960309 1200 27.76 1 5
 19960310 1200 27.70 1 5
 19960311 1200 27.65 1 5
 19960312 1200 27.73 1 5
 19960313 1200 27.64 1 5
 19960314 1200 27.64 1 5
 19960315 1200 27.95 1 5
 19960316 1200 28.17 1 5
 19960317 1200 28.17 1 5
 19960318 1200 28.24 1 5
 19960319 1200 28.00 1 5
 19960320 1200 27.93 1 5
 19960321 1200 27.91 1 5
 19960322 1200 27.91 1 5
 19960323 1200 27.87 1 5
 19960324 1200 27.93 1 5
 19960325 1200 28.08 1 5
 19960326 1200 28.24 1 5
 19960327 1200 28.24 1 5
 19960328 1200 28.21 1 5
 19960329 1200 28.18 1 5
 19960330 1200 28.20 1 5
 19960331 1200 28.33 1 5
 19960401 1200 28.37 1 5
 19960402 1200 28.45 1 5
 19960403 1200 28.46 1 5
 19960404 1200 28.15 1 5
 19960405 1200 28.36 1 5
 19960406 1200 28.59 1 5
 19960407 1200 28.40 1 5
 19960408 1200 28.76 1 5
 19960409 1200 28.95 1 5
 19960410 1200 28.97 1 5
 19960411 1200 28.87 1 5
 19960412 1200 28.98 1 5
 19960413 1200 29.04 1 5
 19960414 1200 29.15 1 5
 19960415 1200 29.27 1 5
 19960416 1200 29.33 1 5
 19960417 1200 29.20 1 5
 19960418 1200 29.42 1 5
 19960419 1200 29.54 1 5
 19960420 1200 28.86 1 5
 19960421 1200 28.80 1 5
 19960422 1200 29.01 1 5
 19960423 1200 28.68 1 5
 19960424 1200 28.97 1 5
 19960425 1200 29.73 1 5
 19960426 1200 29.60 1 5
 19960427 1200 29.21 1 5
 19960428 1200 29.25 1 5
 19960429 1200 29.14 1 5
 19960430 1200 29.20 1 5
 19960501 1200 29.11 1 5
 19960502 1200 29.16 1 5
 19960503 1200 29.41 1 5
 19960504 1200 29.47 1 5
 19960505 1200 29.53 1 5
 19960506 1200 29.60 1 5
 19960507 1200 29.56 1 5
