 Location:  0N 140W  15 Sep 2006 to 24 Jun 2013 ( 2475 times,  7 blocks) Gen. Date Mar  3 2014
 Units: Sea Level Pressure (hPa),  -9.90 = missing
 Time: 1200 15 Sep 2006 to 1200 17 Nov 2006 (index     1 to    64,   64 times)
 Depth (M):        -3 QUALITY and SOURCE
 YYYYMMDD HHMM    SLP Q S
 20080920 1200 1012.3 2 5
 20080921 1200 1012.8 2 5
 20080922 1200 1012.1 2 5
 20080923 1200 1011.1 2 5
 20080924 1200 1009.7 2 5
 20080925 1200 1010.3 2 5
 20080926 1200 1011.9 2 5
 20080927 1200 1013.1 2 5
 20080928 1200 1013.5 2 5
 20080929 1200 1013.0 2 5
 20080930 1200 1013.1 2 5
 20081001 1200 1012.8 2 5
 20081002 1200 1012.4 2 5
 20081003 1200 1012.3 2 5
 20081004 1200 1012.7 2 5
 20081005 1200 1013.1 2 5
 20081006 1200 1012.8 2 5
 20081007 1200 1013.3 2 5
 20081008 1200 1013.8 2 5
 20081009 1200 1013.4 2 5
 20081010 1200 1012.1 2 5
 20081011 1200 1012.1 2 5
 20081012 1200 1012.5 2 5
 20081013 1200 1012.5 2 5
 20081014 1200 1011.7 2 5
 20081015 1200 1010.4 2 5
 20081016 1200 1011.3 2 5
 20081017 1200 1012.2 2 5
 20081018 1200 1012.1 2 5
 20081019 1200 1011.8 2 5
 20081020 1200 1012.3 2 5
 20081021 1200 1011.9 2 5
 20081022 1200 1011.7 2 5
 20081023 1200 1011.8 2 5
 20081024 1200 1010.9 2 5
 20081025 1200 1011.3 2 5
 20081026 1200   -9.9 0 0
 20081027 1200 1011.8 2 5
 20081028 1200 1012.4 2 5
 20081029 1200 1013.0 2 5
 20081030 1200 1012.6 2 5
 20081031 1200 1013.5 2 5
 20081101 1200 1014.1 2 5
 20081102 1200 1012.5 2 5
 20081103 1200 1012.0 2 5
 20081104 1200 1012.5 2 5
 20081105 1200 1011.9 2 5
 20081106 1200 1011.1 2 5
 20081107 1200 1010.8 2 5
 20081108 1200 1009.9 2 5
 20081109 1200 1010.1 2 5
