 Location:  2N  95W  26 Apr 2000 to 27 Jul 2003 ( 1188 times,  4 blocks) Gen. Date Mar  3 2014
 Units: Sea Level Pressure (hPa),  -9.90 = missing
 Time: 1200 26 Apr 2000 to 1200 20 Dec 2000 (index     1 to   239,  239 times)
 Depth (M):        -3 QUALITY and SOURCE
 YYYYMMDD HHMM    SLP Q S
 20020313 1200 1010.8 2 5
 20020314 1200 1010.1 2 5
 20020315 1200 1009.8 2 5
 20020316 1200 1009.3 2 5
 20020317 1200 1009.2 2 5
 20020318 1200 1009.3 2 5
 20020319 1200 1009.1 2 5
 20020320 1200 1009.5 2 5
 20020321 1200 1009.8 2 5
 20020322 1200 1010.0 2 5
 20020323 1200 1009.1 2 5
 20020324 1200 1008.7 2 5
 20020325 1200 1007.7 2 5
 20020326 1200 1007.7 2 5
 20020327 1200 1008.3 2 5
 20020328 1200   -9.9 0 0
 20020329 1200 1009.1 2 1
 20020330 1200 1007.9 2 1
 20020331 1200 1007.2 2 1
 20020401 1200 1008.1 2 1
 20020402 1200 1008.6 2 1
 20020403 1200 1008.8 2 1
 20020404 1200 1009.4 2 1
 20020405 1200 1009.7 2 1
 20020406 1200 1009.7 2 1
 20020407 1200 1010.6 2 1
 20020408 1200 1010.8 2 1
 20020409 1200 1012.0 2 1
 20020410 1200 1012.4 2 1
 20020411 1200 1011.8 2 1
 20020412 1200 1011.5 2 1
 20020413 1200 1010.8 2 1
 20020414 1200 1010.1 2 1
 20020415 1200 1009.2 2 1
 20020416 1200 1009.3 2 1
 20020417 1200 1009.9 2 1
 20020418 1200 1010.0 2 1
 20020419 1200 1009.6 2 1
 20020420 1200 1009.0 2 1
 20020421 1200 1007.9 2 1
 20020422 1200 1008.5 2 1
 20020423 1200 1009.8 2 1
 20020424 1200 1010.7 2 1
 20020425 1200 1010.9 2 1
 20020426 1200 1010.5 2 1
 20020427 1200 1010.2 2 1
 20020428 1200 1009.7 2 1
 20020429 1200 1010.0 2 1
 20020430 1200 1010.0 2 1
 20020501 1200 1009.5 2 1
 20020502 1200 1008.8 2 1
 Time: 1200 18 Oct 2002 to 1200 27 Jul 2003 (index   906 to  1188,  283 times)
 Depth (M):        -3 QUALITY and SOURCE
 YYYYMMDD HHMM    SLP Q S
 20021018 1200 1011.1 2 5
 20021019 1200 1010.2 2 5
 20021020 1200 1010.4 2 5
 20021021 1200 1011.0 2 5
