 Location:  2N  95W  16 Nov 1992 to 10 Jul 2013 ( 7542 times, 26 blocks) Gen. Date Nov 23 2013
 Units: Sea Surface Temperature (C), -9.99 = missing
 Time: 1200 16 Nov 1992 to 1200 21 Aug 1993 (index     1 to   279,  279 times)
 Depth (M):        1 QUALITY SOURCE
 YYYYMMDD HHMM   SST Q S
 19930821 1200 26.01 2 1
 Time: 1200 22 Apr 1994 to 1200 25 Jun 1994 (index   523 to   587,   65 times)
 Depth (M):        1 QUALITY SOURCE
 YYYYMMDD HHMM   SST Q S
 19940422 1200 27.53 2 5
 19940423 1200 27.80 2 5
 19940424 1200 28.06 2 5
 19940425 1200 28.22 2 5
 19940426 1200 28.26 2 5
 19940427 1200 28.20 2 5
 19940428 1200 28.13 2 5
 19940429 1200 28.13 2 5
 19940430 1200 28.31 2 5
 19940501 1200 28.26 2 5
 19940502 1200 28.23 2 5
 19940503 1200 28.27 2 5
 19940504 1200 28.37 2 5
 19940505 1200 28.14 2 5
 19940506 1200 27.99 2 5
 19940507 1200 27.71 2 5
 19940508 1200 27.69 2 5
 19940509 1200 27.70 2 5
 19940510 1200 27.79 2 5
 19940511 1200 27.76 2 5
 19940512 1200 27.48 2 5
 19940513 1200 27.15 2 5
 19940514 1200 26.76 2 5
 19940515 1200 27.31 2 5
 19940516 1200 27.62 2 5
 19940517 1200 27.61 2 5
 19940518 1200 27.34 2 5
 19940519 1200 26.95 2 5
 19940520 1200 26.61 2 5
 19940521 1200 26.46 2 5
 19940522 1200 26.78 2 5
 19940523 1200 27.15 2 5
 19940524 1200 27.44 2 5
 19940525 1200 27.53 2 5
 19940526 1200 27.46 2 5
 19940527 1200 27.39 2 5
 19940528 1200 27.33 2 5
 19940529 1200 26.72 2 5
 19940530 1200 25.79 2 5
 19940531 1200 25.14 2 5
 19940601 1200 24.70 2 5
 19940602 1200 24.65 2 5
 19940603 1200 24.88 2 5
 19940604 1200 25.75 2 5
 19940605 1200 26.16 2 5
 19940606 1200 25.85 2 5
 19940607 1200 25.42 2 5
 19940608 1200 24.55 2 5
 19940609 1200 24.33 2 5
 19940610 1200 23.96 2 5
 19940611 1200 23.70 2 5
 19940612 1200 23.69 2 5
 19940613 1200 -9.99 0 0
 19940614 1200 23.80 2 5
 19940615 1200 23.72 2 5
 19940616 1200 23.73 2 5
 19940617 1200 23.82 2 5
 19940618 1200 23.85 2 5
 19940619 1200 23.89 2 5
 19940620 1200 23.81 2 5
 19940621 1200 23.93 2 5
 19940622 1200 23.90 2 5
 19940623 1200 23.94 2 5
 19940624 1200 24.05 2 5
 19940625 1200 23.95 2 5
 Time: 1200 11 Aug 1994 to 1200 19 May 1995 (index   634 to   915,  282 times)
 Depth (M):        1 QUALITY SOURCE
 YYYYMMDD HHMM   SST Q S
 19940811 1200 25.48 2 5
 19940812 1200 25.62 2 5
 19940813 1200 26.13 2 5
 19940814 1200 26.19 2 5
 19940815 1200 26.15 2 5
 19940816 1200 26.05 2 5
 19940817 1200 25.67 2 5
 19940818 1200 25.17 2 5
 19940819 1200 25.08 2 5
 19940820 1200 25.39 2 5
 19940821 1200 25.67 2 5
 19940822 1200 25.89 2 5
 19940823 1200 26.22 2 5
 19940824 1200 26.46 2 5
 19940825 1200 26.51 2 5
 19940826 1200 26.47 2 5
 19940827 1200 26.24 2 5
 19940828 1200 25.80 2 5
 19940829 1200 25.47 2 5
 19940830 1200 25.23 2 5
 19940831 1200 25.17 2 5
 19940901 1200 25.21 2 5
 19940902 1200 25.29 2 5
 19940903 1200 25.27 2 5
 19940904 1200 24.88 2 5
 19940905 1200 24.79 2 5
 19940906 1200 24.99 2 5
 19940907 1200 25.26 2 5
 19940908 1200 25.19 2 5
 19940909 1200 25.14 2 5
 19940910 1200 25.06 2 5
 19940911 1200 24.60 2 5
 19940912 1200 23.97 2 5
 19940913 1200 24.04 2 5
 19940914 1200 23.74 2 5
 19940915 1200 24.12 2 5
 19940916 1200 24.38 2 5
 19940917 1200 24.50 2 5
 19940918 1200 24.94 2 5
 19940919 1200 25.35 2 5
 19940920 1200 25.66 2 5
 19940921 1200 25.75 2 5
 19940922 1200 25.74 2 5
 19940923 1200 25.75 2 5
 19940924 1200 25.71 2 5
 19940925 1200 25.51 2 5
 19940926 1200 25.61 2 5
 19940927 1200 26.18 2 5
 19940928 1200 26.22 2 5
 19940929 1200 26.26 2 5
 19940930 1200 26.33 2 5
 19941001 1200 26.45 2 5
 19941002 1200 26.49 2 5
 19941003 1200 26.39 2 5
 19941004 1200 26.11 2 5
 19941005 1200 25.77 2 5
 19941006 1200 25.48 2 5
 19941007 1200 25.34 2 5
 19941008 1200 25.45 2 5
 19941009 1200 25.60 2 5
 19941010 1200 25.65 2 5
 19941011 1200 25.65 2 5
 19941012 1200 25.72 2 5
 19941013 1200 25.87 2 5
 19941014 1200 25.99 2 5
 19941015 1200 26.27 2 5
 19941016 1200 26.39 2 5
 19941017 1200 26.39 2 5
 19941018 1200 26.39 2 5
 19941019 1200 26.38 2 5
 19941020 1200 26.30 2 5
 19941021 1200 26.24 2 5
 19941022 1200 26.20 2 5
 19941023 1200 26.27 2 5
 19941024 1200 26.29 2 5
 19941025 1200 26.30 2 5
 19941026 1200 26.38 2 5
 19941027 1200 26.49 2 5
 19941028 1200 26.48 2 5
 19941029 1200 26.37 2 5
 19941030 1200 26.26 2 5
 19941031 1200 26.17 2 5
 19941101 1200 26.04 2 5
 19941102 1200 25.89 2 5
 19941103 1200 25.99 2 5
 19941104 1200 26.25 2 5
 19941105 1200 26.25 2 5
 19941106 1200 26.25 2 5
 19941107 1200 26.27 2 5
 19941108 1200 26.28 2 5
 19941109 1200 26.28 2 5
 19941110 1200 26.33 2 5
 19941111 1200 26.34 2 5
 19941112 1200 26.36 2 5
 19941113 1200 26.38 2 5
 19941114 1200 26.36 2 5
 19941115 1200 26.12 2 5
 19941116 1200 25.80 2 5
 19941117 1200 25.63 2 5
 19941118 1200 25.78 2 5
 19941119 1200 25.92 2 5
 19941120 1200 25.93 2 5
 19941121 1200 25.74 2 5
 19941122 1200 25.58 2 5
 19941123 1200 25.51 2 5
 19941124 1200 25.32 2 5
 19941125 1200 24.99 2 5
 19941126 1200 25.02 2 5
 19941127 1200 24.98 2 5
 19941128 1200 24.92 2 5
 19941129 1200 24.91 2 5
