 Location:  5N 137E  30 Sep 2001 to  1 Mar 2014 ( 4536 times,  4 blocks) Gen. Date Mar  3 2014
 Units: Sea Level Pressure (hPa),  -9.90 = missing
 Time: 1200 30 Sep 2001 to 1200 13 May 2004 (index     1 to   957,  957 times)
 Depth (M):        -2 QUALITY and SOURCE
 YYYYMMDD HHMM    SLP Q S
 20020531 1200 1010.3 1 1
 20020601 1200 1009.9 1 1
 20020602 1200 1009.4 1 1
 20020603 1200 1009.8 1 1
 20020604 1200 1009.6 1 1
 20020605 1200 1009.7 1 1
 20020606 1200 1009.6 1 1
 20020607 1200 1009.2 1 1
 20020608 1200 1009.3 1 1
 20020609 1200 1008.6 1 1
 20020610 1200 1008.9 1 1
 20020611 1200 1008.4 1 1
 20020612 1200 1007.2 1 1
 20020613 1200 1006.1 1 1
 20020614 1200 1006.0 1 1
 20020615 1200 1007.8 1 1
 20020616 1200 1009.4 1 1
 20020617 1200 1009.1 1 1
 20020618 1200 1009.1 1 1
 20020619 1200 1008.3 1 1
 20020620 1200 1007.5 1 1
 20020621 1200 1007.8 1 1
 20020622 1200 1008.7 1 1
 20020623 1200 1008.5 1 1
 20020624 1200 1008.7 1 1
 20020625 1200 1008.7 1 1
 20020626 1200 1008.5 1 1
 20020627 1200 1007.4 1 1
 20020628 1200 1006.6 1 1
 20020629 1200 1006.4 1 1
 20020630 1200 1006.7 1 1
 20020701 1200 1008.3 1 1
 20020702 1200 1009.9 1 1
 20020703 1200 1009.3 1 1
 20020704 1200 1008.5 1 1
 20020705 1200 1007.9 1 1
 20020706 1200 1008.3 1 1
 20020707 1200 1009.3 1 1
 20020708 1200 1009.9 1 1
 20020709 1200 1009.3 1 1
 20020710 1200 1008.6 1 1
 20020711 1200 1008.8 1 1
 20020712 1200 1009.7 1 1
 20020713 1200 1010.6 1 1
 20020714 1200 1011.2 1 1
 20020715 1200 1010.3 1 1
 20020716 1200 1008.8 1 1
 20020717 1200 1008.7 1 1
 20020718 1200 1009.7 1 1
 20020719 1200 1011.6 1 1
 20020720 1200 1011.5 1 1
 20020721 1200 1010.7 1 1
 20020722 1200 1011.0 1 1
 20020723 1200 1011.1 1 1
 20020724 1200 1010.7 1 1
 20020725 1200 1009.6 1 1
 20020726 1200 1010.3 1 1
