 Location:  2S 125W   5 Nov 1991 to 23 May 2012 ( 7506 times,  6 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200  5 Nov 1991 to 1200 26 Aug 1996 (index     1 to  1757, 1757 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19920406 1200  -6.9   0.9   7.0 277.7 12 55
 19920407 1200  -5.5   0.0   5.5 269.7 12 55
 19920408 1200  -0.7   2.2   2.4 342.3 12 55
 19920409 1200   0.9   1.3   1.6  34.3 12 55
 19920410 1200   0.2   2.2   2.2   5.8 12 55
 19920411 1200  -3.6   1.3   3.8 289.6 12 55
 19920412 1200  -6.0   3.7   7.0 301.6 12 55
 19920413 1200  -5.0   2.6   5.7 297.1 12 55
 19920414 1200  -4.7   2.8   5.4 301.2 12 55
 19920415 1200  -3.8   0.9   3.9 282.8 12 55
 19920416 1200  -1.7   3.1   3.5 330.5 12 55
 19920417 1200  -6.2   0.8   6.3 277.6 12 55
 19920418 1200  -6.5   1.3   6.6 281.7 12 55
 19920419 1200  -6.0   3.3   6.8 298.7 12 55
 19920420 1200  -6.5   2.1   6.8 287.8 12 55
 19920421 1200  -6.0   1.8   6.3 286.5 12 55
 19920422 1200  -5.1   0.4   5.1 274.1 12 55
 19920423 1200  -6.2   2.4   6.7 291.4 12 55
 19920424 1200  -5.2   2.1   5.6 292.4 12 55
 19920425 1200  -4.6   2.7   5.3 300.3 12 55
 19920426 1200  -3.6  -1.2   3.8 252.1 12 55
 19920427 1200  -2.8  -0.5   2.8 260.3 12 55
 19920428 1200  -1.8   3.0   3.5 329.0 12 55
 19920429 1200  -2.8   2.3   3.6 309.1 12 55
 19920430 1200  -3.1   2.4   4.0 307.6 12 55
 19920501 1200  -3.8  -0.5   3.8 261.9 12 55
 19920502 1200  -3.9   1.9   4.3 296.9 12 55
 19920503 1200  -6.2   0.8   6.3 277.4 12 55
